duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.215681,0.148341,0.000000,0.000000,0.181523,0.282044,0.642960,0.000061,0.000672,0.003297,0.015873,3.717408,3.301682,1.797800,1.104761,0.615018,1.104394,0.801464,0.749987,3.304026,3.299447,0.797948,4.925840,4.936560,0.004274
0.489494,1,0.000000,0.221536,0.147365,0.007807,0.000000,0.181523,0.283996,1.125180,0.000183,0.000549,0.003297,0.015751,3.699776,3.298898,1.796824,1.101464,0.599999,1.104761,0.799633,0.749987,3.304942,3.300363,0.797655,4.924500,4.936560,0.004274
4.000064,1,0.000000,0.228368,0.146390,0.000000,0.000000,0.179571,0.280092,0.642960,0.000183,0.000672,0.003297,0.015507,3.710912,3.311889,1.798289,1.107691,0.615018,1.104761,0.801831,0.756434,3.305857,3.300363,0.797362,4.919140,4.929860,0.004274
6.000060,1,0.000000,0.224464,0.146390,0.000000,0.000000,0.180547,0.283996,0.642960,0.000061,0.000427,0.003297,0.015507,3.726687,3.307249,1.798289,1.109156,0.615750,1.101830,0.800365,0.752136,3.306773,3.300363,0.798241,4.925840,4.936560,0.004274
8.000060,1,0.000976,0.218608,0.145414,0.000000,0.000000,0.179571,0.281068,0.634030,0.000305,0.000549,0.003419,0.015873,3.715552,3.294258,1.796824,1.107325,0.614651,1.102929,0.802930,0.749718,3.305857,3.300363,0.797655,4.924500,4.936560,0.004274
10.000061,1,0.000000,0.233247,0.146390,0.000000,0.000000,0.180547,0.281068,0.642960,0.000244,0.000549,0.003297,0.015873,3.719264,3.301682,1.798289,1.106226,0.616117,1.104761,0.800732,0.752136,3.304942,3.300363,0.797948,4.925840,4.936560,0.004274
12.000061,1,0.000000,0.218608,0.146390,0.000000,0.000000,0.180547,0.281068,0.642960,0.000244,0.000549,0.003358,0.015751,3.711840,3.301682,1.797312,1.104761,0.616483,1.102929,0.800732,0.749450,3.305857,3.299447,0.797948,4.925840,4.935220,0.004274
14.000060,1,0.000000,0.217632,0.148341,0.000000,0.000000,0.180547,0.282044,0.642960,0.000305,0.000549,0.003358,0.015873,3.710912,3.311889,1.805126,1.102563,0.616117,1.101098,0.801464,0.749181,3.305857,3.300363,0.798241,4.924500,4.935220,0.004274
16.000060,1,0.000000,0.223488,0.147365,0.000000,0.000000,0.191282,0.283996,0.642960,0.000061,0.000672,0.003297,0.016117,3.710912,3.294258,1.796824,1.102197,0.615750,1.102929,0.800365,0.748913,3.305857,3.300363,0.797655,4.928520,4.936560,0.004274
18.000059,1,0.000000,0.228368,0.145414,0.000000,0.000000,0.179571,0.283020,0.634030,0.000977,0.000549,0.003297,0.015995,3.703488,3.299826,1.796824,1.104394,0.615750,1.099999,0.799633,0.748644,3.307689,3.300363,0.797362,4.925840,4.936560,0.004274
