duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000976,0.210801,0.146390,0.000000,0.000000,0.186403,0.281068,0.616170,0.000061,0.000672,0.003358,0.015507,3.726687,3.294258,1.797312,1.104761,0.614285,1.101098,0.802930,0.749181,3.304942,3.300363,0.797948,4.928520,4.939240,0.004274
0.100064,0,0.000000,0.210801,0.150293,0.000000,0.000000,0.181523,0.282044,0.741190,0.000244,0.000549,0.003358,0.015507,3.719264,3.301682,1.797800,1.107325,0.613186,1.102929,0.799633,0.800488,3.304942,3.299447,0.797948,4.920480,4.927180,0.004274
0.200057,0,0.000000,0.211777,0.147365,0.000000,0.000000,0.179571,0.284972,0.616170,0.000183,0.000427,0.003175,0.016117,3.719264,3.295186,1.797312,1.101830,0.616117,1.102929,0.799633,0.749181,3.305857,3.301279,0.797948,4.927180,4.933880,0.004274
0.300057,0,0.000976,0.221536,0.147365,0.000000,0.000000,0.180547,0.281068,0.616170,0.000183,0.000549,0.003419,0.015507,3.726687,3.292402,1.797800,1.102563,0.616483,1.104394,0.800732,0.749181,3.305857,3.300363,0.797948,4.928520,4.935220,0.004274
0.400057,0,0.001952,0.213729,0.146390,0.000000,0.000000,0.178595,0.280092,0.625100,0.000183,0.000427,0.003358,0.015507,3.699776,3.293330,1.798289,1.110622,0.616483,1.104761,0.799633,0.749181,3.306773,3.300363,0.797948,4.928520,4.935220,0.004274
0.489500,1,0.001952,0.210801,0.150293,0.007807,0.000000,0.179571,0.283996,1.116250,0.000183,0.000672,0.003297,0.016117,3.715552,3.292402,1.798289,1.104761,0.603296,1.104761,0.800365,0.750524,3.305857,3.300363,0.797948,4.911100,4.927180,0.004274
0.600057,1,0.000000,0.213729,0.152245,0.000000,0.000000,0.179571,0.280092,0.928720,0.000183,0.000672,0.003297,0.015995,3.704416,3.294258,1.797312,1.106226,0.615018,1.103296,0.799633,0.879462,3.304942,3.301279,0.797948,4.911100,4.920480,0.004274
0.700056,1,0.000000,0.211777,0.152245,0.000000,0.000000,0.178595,0.282044,0.928720,0.000183,0.000672,0.003297,0.016117,3.711840,3.294258,1.797312,1.107325,0.615750,1.104394,0.800365,0.879731,3.303110,3.299447,0.797655,4.913780,4.921820,0.004274
0.800055,1,0.001952,0.212753,0.151269,0.000000,0.000000,0.180547,0.281068,0.919790,0.000183,0.000794,0.003297,0.015629,3.711840,3.298898,1.796335,1.103296,0.616117,1.104394,0.801831,0.879999,3.305857,3.299447,0.797948,4.911100,4.921820,0.004274
0.900055,1,0.000976,0.221536,0.152245,0.000000,0.000000,0.181523,0.280092,0.910860,0.000183,0.000427,0.003175,0.016117,3.699776,3.292402,1.798289,1.109156,0.615384,1.102929,0.799633,0.879462,3.305857,3.299447,0.797948,4.911100,4.920480,0.004274
1.000055,1,0.000000,0.210801,0.154197,0.000000,0.000000,0.179571,0.281068,2.223570,0.000305,0.000672,0.003236,0.015507,3.711840,3.293330,1.797312,1.104761,0.603662,1.104394,0.802930,0.879731,3.304942,3.301279,0.797655,4.881620,4.911100,0.004274
1.100054,1,0.000000,0.212753,0.153221,0.000000,0.000000,0.179571,0.280092,0.928720,0.000183,0.000427,0.003358,0.015751,3.719264,3.293330,1.797312,1.104761,0.615750,1.101098,0.802930,0.879731,3.305857,3.300363,0.798241,4.913780,4.920480,0.004274
1.200054,1,0.000000,0.209825,0.153221,0.000000,0.000000,0.176643,0.281068,0.919790,0.000305,0.000672,0.003358,0.015751,3.711840,3.298898,1.796824,1.102929,0.617216,1.104761,0.801831,0.879999,3.304942,3.299447,0.797948,4.907080,4.921820,0.004274
1.300054,1,0.000000,0.214705,0.152245,0.000000,0.000000,0.190306,0.281068,0.919790,0.000183,0.000672,0.003236,0.015751,3.719264,3.301682,1.797312,1.109156,0.615750,1.100732,0.801831,0.879999,3.304026,3.299447,0.797948,4.893680,4.888320,0.004274
1.400056,1,0.000000,0.210801,0.151269,0.000000,0.000000,0.180547,0.280092,0.928720,0.000977,0.000672,0.003297,0.015995,3.704416,3.295186,1.796824,1.102197,0.613919,1.102197,0.800732,0.879999,3.305857,3.299447,0.797948,4.907080,4.925840,0.004274
1.500055,1,0.000000,0.211777,0.153221,0.000000,0.000000,0.179571,0.283020,0.928720,0.000183,0.000672,0.003297,0.016117,3.719264,3.299826,1.797312,1.107691,0.616117,1.100732,0.801831,0.879731,3.305857,3.300363,0.796776,4.912440,4.921820,0.004274
1.600054,1,0.000000,0.217632,0.153221,0.000000,0.000000,0.179571,0.281068,1.669910,0.000183,0.000427,0.003358,0.015629,3.697920,3.327664,1.796824,1.103662,0.604395,1.102929,0.799633,0.879731,3.305857,3.300363,0.797655,4.876260,4.911100,0.004274
1.700055,1,0.000000,0.218608,0.153221,0.000000,0.000000,0.178595,0.283996,0.919790,0.000244,0.000549,0.003358,0.016606,3.721120,3.301682,1.797312,1.101830,0.615750,1.101464,0.800732,0.879462,3.306773,3.301279,0.797655,4.911100,4.920480,0.004274
1.800054,1,0.000000,0.213729,0.154197,0.000000,0.000000,0.178595,0.283020,0.937650,0.000244,0.000549,0.003358,0.016117,3.711840,3.299826,1.797800,1.109156,0.615750,1.102929,0.799633,0.879999,3.304942,3.300363,0.797948,4.907080,4.919140,0.004274
1.900054,1,0.000976,0.212753,0.152245,0.000000,0.000000,0.190306,0.281068,0.946580,0.000183,0.000672,0.003358,0.016117,3.699776,3.301682,1.798289,1.104761,0.617216,1.100732,0.801098,0.879462,3.304026,3.300363,0.797655,4.912440,4.920480,0.005128
2.000056,1,0.000976,0.210801,0.154197,0.000000,0.000000,0.180547,0.281068,0.919790,0.000244,0.000549,0.003358,0.015873,3.700704,3.297970,1.797800,1.103296,0.614651,1.104394,0.799633,0.879731,3.303110,3.299447,0.797655,4.913780,4.923160,0.004274
2.100054,1,0.000000,0.213729,0.153221,0.000000,0.000000,0.179571,0.279116,0.937650,0.000183,0.000672,0.003358,0.015873,3.713696,3.298898,1.795847,1.101464,0.615750,1.102929,0.801098,0.879999,3.304942,3.300363,0.797948,4.909760,4.923160,0.004274
2.200055,1,0.000000,0.220560,0.154197,0.000000,0.000000,0.179571,0.280092,0.937650,0.000244,0.000672,0.003419,0.015629,3.726687,3.293330,1.797312,1.109156,0.615750,1.104761,0.802930,0.879731,3.305857,3.300363,0.797655,4.911100,4.921820,0.004274
2.300054,1,0.000976,0.212753,0.152245,0.000000,0.000000,0.180547,0.283020,1.455590,0.000183,0.000549,0.003297,0.015995,3.699776,3.293330,1.796824,1.106226,0.600366,1.104394,0.801098,0.879731,3.304942,3.300363,0.797655,4.886980,4.915120,0.004274
2.400055,1,0.000000,0.211777,0.153221,0.000000,0.000000,0.179571,0.281068,0.937650,0.000244,0.000549,0.003297,0.015507,3.700704,3.301682,1.797800,1.107325,0.615018,1.101098,0.800732,0.879999,3.304026,3.300363,0.797948,4.907080,4.919140,0.004274
2.500055,1,0.000000,0.212753,0.154197,0.000000,0.000000,0.179571,0.284972,0.928720,0.000244,0.000549,0.003358,0.015507,3.713696,3.301682,1.797800,1.101464,0.615750,1.101464,0.802930,0.879462,3.304942,3.300363,0.797362,4.912440,4.921820,0.004274
2.600054,1,0.000000,0.211777,0.153221,0.000000,0.000000,0.191282,0.282044,0.928720,0.000183,0.000672,0.003358,0.015629,3.711840,3.301682,1.797800,1.104394,0.616483,1.099999,0.800732,0.879193,3.305857,3.301279,0.797948,4.911100,4.909760,0.004274
2.700056,1,0.000000,0.210801,0.153221,0.000000,0.000000,0.192258,0.281068,0.937650,0.000183,0.000427,0.003358,0.016117,3.711840,3.292402,1.799266,1.107691,0.615018,1.104761,0.801464,0.879462,3.305857,3.300363,0.797362,4.912440,4.921820,0.004274
2.800054,1,0.000000,0.211777,0.153221,0.000000,0.000000,0.179571,0.280092,0.928720,0.000183,0.000977,0.003419,0.015507,3.715552,3.293330,1.797312,1.107691,0.616483,1.104394,0.799633,0.879999,3.304942,3.299447,0.797948,4.907080,4.924500,0.004274
2.900054,1,0.000000,0.217632,0.152245,0.000000,0.000000,0.180547,0.280092,0.937650,0.000183,0.000427,0.003419,0.015995,3.704416,3.327664,1.797312,1.109889,0.615018,1.101098,0.801098,0.879731,3.305857,3.300363,0.798241,4.913780,4.925840,0.004274
3.000054,1,0.000000,0.210801,0.156149,0.000000,0.000000,0.179571,0.281068,1.437730,0.000183,0.000672,0.003358,0.015873,3.699776,3.294258,1.798289,1.107691,0.602564,1.101464,0.799633,0.879999,3.307689,3.300363,0.797655,4.901720,4.919140,0.004274
3.100055,1,0.000000,0.212753,0.153221,0.000000,0.000000,0.179571,0.280092,0.928720,0.000244,0.000549,0.003236,0.015507,3.719264,3.301682,1.796824,1.110622,0.613552,1.104761,0.799633,0.879462,3.305857,3.300363,0.797948,4.908420,4.921820,0.005128
3.200055,1,0.000000,0.212753,0.154197,0.000000,0.000000,0.188355,0.281068,0.937650,0.000244,0.000549,0.003419,0.015507,3.726687,3.357359,1.798289,1.102929,0.615750,1.105127,0.802930,0.879193,3.304942,3.302194,0.797655,4.911100,4.923160,0.004274
3.300055,1,0.000000,0.211777,0.153221,0.000000,0.000000,0.179571,0.280092,0.937650,0.000244,0.000672,0.003114,0.015507,3.703488,3.291474,1.798289,1.102563,0.601465,1.104028,0.800732,0.879999,3.305857,3.299447,0.797948,4.899040,4.907080,0.004274
