duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.210801,0.145414,0.000000,0.000000,0.190306,0.280092,0.607240,0.000305,0.000733,0.003358,0.015507,3.698848,3.327664,1.799266,1.104761,0.616483,1.104761,0.801098,0.749450,3.307689,3.300363,0.797948,4.931200,4.937900,0.005128
0.490473,1,0.000000,0.222512,0.148341,0.005856,0.000000,0.178595,0.283020,1.089460,0.000183,0.000672,0.003358,0.015995,3.704416,3.311889,1.796824,1.107691,0.604395,1.101098,0.799633,0.751062,3.305857,3.300363,0.798241,4.928520,4.940580,0.004274
1.000062,1,0.000000,0.209825,0.146390,0.000000,0.000000,0.178595,0.280092,0.607240,0.000305,0.000549,0.003419,0.015751,3.715552,3.311889,1.796824,1.103296,0.616483,1.104761,0.801098,0.749181,3.304942,3.299447,0.797948,4.928520,4.935220,0.004274
1.500057,1,0.000000,0.214705,0.147365,0.000000,0.000000,0.178595,0.280092,0.607240,0.000183,0.000427,0.003358,0.016606,3.711840,3.327664,1.796824,1.102929,0.616117,1.104761,0.801098,0.749450,3.305857,3.299447,0.797948,4.925840,4.929860,0.004274
2.000057,1,0.000000,0.212753,0.147365,0.000000,0.000000,0.179571,0.282044,0.607240,0.000183,0.000672,0.003297,0.016239,3.711840,3.301682,1.797800,1.105127,0.615384,1.104761,0.801831,0.749181,3.305857,3.299447,0.797948,4.921820,4.939240,0.005128
2.500057,1,0.000000,0.211777,0.147365,0.000000,0.000000,0.179571,0.280092,0.607240,0.000244,0.000672,0.003419,0.016361,3.704416,3.295186,1.798777,1.104761,0.615018,1.104761,0.800732,0.748644,3.305857,3.300363,0.797655,4.919140,4.940580,0.004274
3.000057,1,0.000000,0.218608,0.148341,0.000000,0.000000,0.179571,0.281068,0.607240,0.000305,0.000672,0.003297,0.016606,3.711840,3.327664,1.799266,1.103296,0.616483,1.104761,0.800365,0.752136,3.304942,3.299447,0.797655,4.927180,4.935220,0.005128
3.500056,1,0.000000,0.211777,0.146390,0.000000,0.000000,0.181523,0.279116,0.607240,0.000305,0.000672,0.003297,0.015995,3.702560,3.298898,1.796824,1.109156,0.616483,1.100732,0.799633,0.749718,3.306773,3.299447,0.797948,4.928520,4.941920,0.004274
4.000057,1,0.000000,0.209825,0.145414,0.000000,0.000000,0.190306,0.280092,0.607240,0.000183,0.000427,0.003358,0.016606,3.697920,3.357359,1.798777,1.104761,0.616483,1.104394,0.801098,0.752136,3.305857,3.300363,0.798241,4.929860,4.935220,0.004274
4.500056,1,0.000000,0.207873,0.145414,0.000000,0.000000,0.180547,0.280092,0.607240,0.000183,0.000672,0.003297,0.015507,3.719264,3.301682,1.797312,1.101830,0.616483,1.102929,0.802930,0.749450,3.305857,3.299447,0.797948,4.925840,4.940580,0.005128
