duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000001,0,0.000000,0.208849,0.147365,0.000000,0.000000,0.178595,0.280092,0.625100,0.000244,0.000549,0.003419,0.015507,3.719264,3.292402,1.798289,1.102197,0.609889,1.104761,0.801464,0.749450,3.306773,3.299447,0.797655,4.927180,4.935220,0.004274
0.490261,1,0.000000,0.208849,0.148341,0.012687,0.000000,0.192258,0.285948,1.116250,0.000183,0.000427,0.003419,0.015507,3.711840,3.327664,1.795847,1.104761,0.604395,1.104394,0.801464,0.749450,3.304942,3.301279,0.797948,4.927180,4.929860,0.004274
2.000062,1,0.000000,0.218608,0.146390,0.000000,0.000000,0.178595,0.280092,0.625100,0.000305,0.000672,0.003297,0.015629,3.703488,3.301682,1.797800,1.101830,0.616483,1.104394,0.800732,0.749450,3.304942,3.299447,0.797948,4.928520,4.935220,0.005128
3.000058,1,0.000976,0.212753,0.145414,0.000000,0.000000,0.180547,0.278140,0.625100,0.000183,0.000672,0.003419,0.015873,3.726687,3.293330,1.797312,1.103296,0.615750,1.101464,0.801464,0.748644,3.305857,3.299447,0.797655,4.924500,4.935220,0.004274
4.000059,1,0.000000,0.213729,0.147365,0.000000,0.000000,0.178595,0.283020,0.625100,0.000183,0.000672,0.003358,0.016117,3.726687,3.327664,1.796824,1.104394,0.616483,1.102929,0.801831,0.749181,3.305857,3.300363,0.797948,4.928520,4.935220,0.004274
5.000057,1,0.000000,0.210801,0.183475,0.000000,0.000000,0.179571,0.281068,0.625100,0.000244,0.000672,0.003419,0.015629,3.710912,3.293330,1.797312,1.101464,0.616483,1.104028,0.801464,0.749987,3.306773,3.299447,0.797655,4.925840,4.935220,0.004274
6.000057,1,0.000976,0.209825,0.147365,0.000000,0.000000,0.178595,0.280092,0.616170,0.000061,0.000672,0.003419,0.015629,3.715552,3.301682,1.798777,1.101830,0.613552,1.102929,0.801464,0.757509,3.307689,3.300363,0.797948,4.928520,4.935220,0.005128
7.000058,1,0.000000,0.212753,0.148341,0.000000,0.000000,0.179571,0.281068,0.625100,0.000977,0.000672,0.003236,0.016117,3.703488,3.295186,1.797312,1.109889,0.615750,1.104028,0.800732,0.749450,3.305857,3.302194,0.798241,4.928520,4.939240,0.005128
8.000056,1,0.000000,0.219584,0.146390,0.000000,0.000000,0.179571,0.281068,0.625100,0.000305,0.000672,0.003358,0.015873,3.710912,3.293330,1.797312,1.102929,0.616483,1.100732,0.801464,0.756434,3.305857,3.302194,0.797948,4.925840,4.935220,0.005128
9.000059,1,0.000000,0.211777,0.148341,0.000000,0.000000,0.191282,0.283996,0.625100,0.000305,0.000549,0.003480,0.015263,3.698848,3.298898,1.798289,1.112087,0.615750,1.102929,0.799633,0.749450,3.306773,3.301279,0.797948,4.924500,4.939240,0.005128
